item,gen
487330,"['Indie', 'Action', 'Adventure', 'Casual', 'Racing']"
502380,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy']"
485640,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy']"
487270,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy']"
503710,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy', 'Simulation']"
389700,"['Indie', 'Adventure']"
400740,"['Indie', 'Action', 'Adventure']"
428630,['Indie']
453670,['Indie']
513570,"['Indie', 'Action', 'Adventure']"
55140,['Racing']
282050,"['Simulation', 'Sports', 'Racing']"
359220,"['Simulation', 'Racing']"
420890,"['Simulation', 'Sports', 'Racing']"
421160,"['Simulation', 'Sports', 'Racing']"
421161,"['Simulation', 'Sports', 'Racing']"
421162,"['Simulation', 'Sports', 'Racing']"
421163,"['Simulation', 'Sports', 'Racing']"
421164,"['Simulation', 'Sports', 'Racing']"
421165,"['Simulation', 'Sports', 'Racing']"
421166,"['Simulation', 'Sports', 'Racing']"
429710,"['Simulation', 'Sports', 'Racing']"
429711,"['Simulation', 'Sports', 'Racing']"
429890,"['Simulation', 'Sports', 'Racing']"
429900,"['Simulation', 'Sports', 'Racing']"
429901,"['Simulation', 'Sports', 'Racing']"
429902,"['Simulation', 'Sports', 'Racing']"
429903,"['Simulation', 'Sports', 'Racing']"
429904,"['Simulation', 'Sports', 'Racing']"
429905,"['Simulation', 'Sports', 'Racing']"
429906,"['Simulation', 'Sports', 'Racing']"
429907,"['Simulation', 'Sports', 'Racing']"
429908,"['Simulation', 'Sports', 'Racing']"
430310,"['Simulation', 'Sports', 'Racing']"
430311,"['Simulation', 'Sports', 'Racing']"
430312,"['Simulation', 'Sports', 'Racing']"
430313,"['Simulation', 'Sports', 'Racing']"
430314,"['Simulation', 'Sports', 'Racing']"
430315,"['Simulation', 'Sports', 'Racing']"
430316,"['Simulation', 'Sports', 'Racing']"
430317,"['Simulation', 'Sports', 'Racing']"
430318,"['Simulation', 'Sports', 'Racing']"
430319,"['Simulation', 'Sports', 'Racing']"
430320,"['Simulation', 'Sports', 'Racing']"
430321,"['Simulation', 'Sports', 'Racing']"
430322,"['Simulation', 'Sports', 'Racing']"
522333,"['Action', 'Adventure']"
522334,"['Action', 'Adventure']"
522335,"['Action', 'Adventure']"
324800,"['Action', 'Adventure']"
3300,['Casual']
3350,['Casual']
3330,['Casual']
3390,['Casual']
3310,['Casual']
3320,['Casual']
3380,['Casual']
3420,['Casual']
3430,['Casual']
3450,['Casual']
3340,['Casual']
3410,['Casual']
3440,['Casual']
3400,['Casual']
3360,['Casual']
3460,['Casual']
3480,['Casual']
3540,['Casual']
3560,"['Casual', 'Strategy']"
3580,['Casual']
3590,['Strategy']
3620,"['Action', 'Casual']"
78000,"['Casual', 'Strategy']"
311500,"['Indie', 'Action', 'Casual']"
329150,"['Indie', 'Action', 'Casual']"
406440,"['Indie', 'Action', 'Casual']"
511170,"['Indie', 'Action', 'Casual']"
45740,"['Action', 'Adventure']"
45770,"['Action', 'Adventure']"
427190,"['Action', 'Adventure']"
488050,"['Indie', 'Action', 'RPG']"
416790,"['Indie', 'Action', 'RPG']"
404770,"['Indie', 'Casual', 'Strategy']"
440500,"['Indie', 'Action', 'Casual']"
441610,"['Indie', 'Casual', 'Strategy']"
460830,"['Indie', 'Casual', 'Strategy']"
460840,"['Indie', 'Casual', 'Strategy']"
474930,"['Indie', 'Casual', 'Strategy']"
476350,"['Indie', 'Casual', 'Strategy']"
476351,"['Indie', 'Casual', 'Strategy']"
476352,"['Indie', 'Casual', 'Strategy']"
331710,"['Indie', 'Action', 'Adventure', 'Casual']"
354850,"['Indie', 'Action', 'Adventure', 'Casual']"
368900,"['Indie', 'Action', 'Adventure', 'Casual']"
385200,"['Indie', 'Action', 'Casual']"
395980,"['Indie', 'Casual']"
397620,"['Indie', 'Casual']"
410590,"['Indie', 'Casual']"
416270,"['Indie', 'Casual']"
431270,"['Indie', 'Casual']"
432150,"['Indie', 'Casual']"
447880,"['Indie', 'Action', 'Casual']"
460660,"['Indie', 'Casual']"
462370,"['Indie', 'Casual']"
505440,"['Indie', 'Casual']"
516700,"['Indie', 'Action', 'Casual']"
364250,['Action']
379520,['Action']
406480,['Action']
406490,['Action']
430290,['Action']
430300,['Action']
465060,['Action']
465070,['Action']
449630,"['Indie', 'Casual', 'Racing']"
501690,"['Indie', 'Casual']"
461570,"['Indie', 'Casual']"
488200,"['Indie', 'Casual']"
492240,"['Indie', 'Casual']"
440550,"['Indie', 'Action']"
523840,"['Indie', 'Action']"
496390,"['Indie', 'Action']"
523820,"['Indie', 'Action']"
523821,"['Indie', 'Action']"
285500,"['Action', 'RPG', 'Racing']"
285520,"['Action', 'Racing']"
286810,"['Action', 'Racing']"
286830,"['Action', 'Racing']"
289600,"['Strategy', 'RPG']"
359250,"['Indie', 'Adventure', 'Casual']"
359260,"['Indie', 'Adventure', 'Casual']"
486170,"['Indie', 'Adventure', 'Casual']"
463110,"['Indie', 'Adventure', 'Casual']"
524360,"['Indie', 'Adventure', 'Casual']"
325120,"['Indie', 'Adventure', 'Casual']"
348240,"['Indie', 'Action', 'Casual']"
400450,"['Indie', 'Action', 'RPG']"
521010,"['Indie', 'Action', 'RPG']"
383270,"['Indie', 'Adventure']"
517450,"['Indie', 'Adventure']"
510710,"['Indie', 'Casual', 'Strategy']"
516090,"['Indie', 'Casual', 'Strategy']"
487220,"['Indie', 'Casual']"
509110,"['Indie', 'Casual']"
453270,"['Indie', 'Action', 'Adventure', 'Simulation', 'Massively Multiplayer', 'Multiplayer']"
473810,"['Indie', 'Action', 'Adventure', 'Simulation', 'Massively Multiplayer', 'Multiplayer']"
104200,"['Indie', 'Action', 'Adventure', 'Strategy', 'Simulation']"
263980,"['Indie', 'Action', 'Adventure', 'Strategy', 'Simulation']"
317250,"['Indie', 'Action', 'Adventure']"
341500,"['Indie', 'Action', 'Adventure', 'Casual']"
351150,"['Indie', 'Adventure', 'Casual', 'RPG']"
371670,"['Indie', 'Action', 'Adventure', 'Strategy', 'Simulation']"
394540,"['Indie', 'Action', 'Adventure']"
396360,"['Indie', 'Casual', 'Simulation', 'Sports']"
429700,"['Indie', 'Action', 'Adventure', 'Strategy']"
438180,"['Indie', 'Action', 'Adventure', 'Casual']"
454200,"['Indie', 'Action']"
485330,"['Indie', 'Action', 'Casual']"
485160,"['Indie', 'Action']"
522830,"['Indie', 'Action']"
406850,"['Indie', 'Action', 'Strategy']"
501510,"['Indie', 'Action', 'Strategy']"
485220,"['Indie', 'Action', 'Casual', 'Strategy']"
501830,"['Indie', 'Action', 'Casual', 'Strategy']"
12520,['Racing']
33730,['Simulation']
362780,['Simulation']
499910,"['Indie', 'Adventure']"
509120,['Indie']
363490,"['Indie', 'Action', 'Adventure', 'Strategy', 'RPG', 'Early Access']"
399430,"['Indie', 'Casual']"
412600,"['Indie', 'Action']"
497050,"['Indie', 'Casual']"
418070,"['Indie', 'Casual']"
466840,"['Indie', 'Action', 'Casual']"
469730,"['Indie', 'Action', 'Casual']"
504400,"['Indie', 'Adventure', 'Casual']"
516910,"['Indie', 'Adventure', 'Casual']"
40300,['RPG']
40390,['RPG']
40392,"['Action', 'Adventure']"
40393,['RPG']
249250,['RPG']
249270,['RPG']
249290,['RPG']
249230,['RPG']
489970,"['Adventure', 'Strategy', 'RPG']"
489971,"['Adventure', 'Strategy', 'RPG']"
489972,"['Adventure', 'Strategy', 'RPG']"
489973,"['Adventure', 'Strategy', 'RPG']"
489974,"['Adventure', 'Strategy', 'RPG']"
489975,"['Adventure', 'Strategy', 'RPG']"
489976,"['Adventure', 'Strategy', 'RPG']"
489977,"['Adventure', 'Strategy', 'RPG']"
489978,"['Adventure', 'Strategy', 'RPG']"
490410,"['Adventure', 'Strategy', 'RPG']"
490411,"['Adventure', 'Strategy', 'RPG']"
490412,"['Adventure', 'Strategy', 'RPG']"
282900,"['Strategy', 'RPG']"
513730,"['Strategy', 'RPG']"
319011,"['Strategy', 'RPG']"
319014,"['Strategy', 'RPG']"
319015,"['Strategy', 'RPG']"
319016,"['Strategy', 'RPG']"
319017,"['Strategy', 'RPG']"
319018,"['Strategy', 'RPG']"
218740,"['Indie', 'Adventure']"
471920,"['Indie', 'Adventure']"
508270,"['Indie', 'Adventure']"
508271,"['Indie', 'Adventure']"
431600,"['Simulation', 'Sports', 'Racing']"
521600,"['Simulation', 'Sports', 'Racing']"
271860,['Indie']
292620,['Indie']
326120,"['Indie', 'Action']"
354920,['Indie']
407940,"['Indie', 'Action']"
347560,"['Indie', 'Adventure', 'RPG', 'Early Access']"
375510,"['Indie', 'Adventure', 'RPG', 'Early Access']"
388160,"['Indie', 'Casual']"
391070,"['Indie', 'Action', 'Casual']"
403560,['Indie']
403900,"['Indie', 'Action']"
410210,"['Indie', 'Racing']"
449200,"['Indie', 'Adventure', 'RPG']"
488660,"['Indie', 'Casual', 'Strategy', 'Simulation']"
517290,"['Indie', 'Casual', 'Strategy', 'Simulation']"
517291,"['Indie', 'Casual', 'Strategy', 'Simulation']"
517292,"['Indie', 'Casual', 'Strategy', 'Simulation']"
378610,"['Indie', 'Action', 'Adventure']"
494420,"['Indie', 'Action', 'Adventure']"
443330,['Adventure']
514320,['Adventure']
435530,"['Indie', 'Action', 'Adventure']"
520500,"['Indie', 'Action', 'Adventure']"
337000,"['Action', 'RPG']"
470070,"['Action', 'RPG']"
425410,"['Indie', 'Action', 'Adventure', 'Racing']"
489530,"['Indie', 'Action', 'Adventure', 'Racing']"
367040,"['Indie', 'Action']"
448140,"['Indie', 'Action', 'Adventure', 'Casual']"
266210,"['Indie', 'RPG']"
352840,"['Indie', 'RPG']"
377470,"['Indie', 'Adventure']"
377480,"['Indie', 'Adventure']"
283000,"['Indie', 'Strategy']"
283020,"['Indie', 'Strategy']"
302320,"['Strategy', 'Simulation']"
305390,"['Indie', 'Strategy']"
383330,"['Indie', 'Strategy']"
451880,"['Indie', 'Casual']"
385070,"['Indie', 'Adventure', 'RPG']"
391660,"['Indie', 'Adventure', 'RPG']"
412170,"['Indie', 'Adventure', 'Strategy', 'RPG']"
457820,"['Indie', 'Adventure', 'RPG']"
467000,"['Indie', 'Action']"
496500,"['Indie', 'Adventure', 'Casual', 'Strategy', 'Simulation', 'Early Access']"
501200,['Indie']
222880,"['Indie', 'Action', 'Strategy']"
447820,"['Indie', 'Action', 'Strategy', 'Early Access']"
400180,"['Indie', 'Action', 'Strategy']"
509030,"['Indie', 'Action', 'Strategy']"
509031,"['Indie', 'Action', 'Strategy']"
509032,"['Indie', 'Action', 'Strategy']"
399670,"['Indie', 'Simulation']"
454060,"['Indie', 'Casual', 'Simulation']"
220780,['Indie']
365770,"['Indie', 'Action']"
340490,['Indie']
470670,['Indie']
258520,"['Indie', 'Adventure']"
457880,"['Indie', 'Adventure']"
388430,"['Indie', 'Action']"
497040,"['Indie', 'Casual']"
499520,['Adventure']
508340,['Adventure']
284750,"['Adventure', 'Casual']"
284790,"['Adventure', 'Casual']"
363330,"['Adventure', 'Casual']"
399890,"['Adventure', 'Casual']"
40960,['Strategy']
47400,"['Strategy', 'Simulation']"
296710,['Indie']
385870,['Indie']
314290,"['Indie', 'Action']"
405550,"['Indie', 'Action']"
273540,"['Indie', 'Simulation', 'Sports', 'Racing']"
346610,"['Indie', 'Simulation', 'Early Access', 'Sports', 'Racing']"
349220,"['Indie', 'RPG', 'Massively Multiplayer', 'Multiplayer']"
379750,"['Indie', 'Adventure', 'Casual', 'Strategy', 'Massively Multiplayer', 'Multiplayer']"
396810,"['Indie', 'RPG', 'Massively Multiplayer', 'Multiplayer']"
397370,"['Indie', 'RPG', 'Massively Multiplayer', 'Multiplayer']"
437890,"['Indie', 'Action', 'Adventure', 'Strategy', 'RPG', 'Early Access']"
497740,"['Indie', 'Action', 'Adventure', 'Strategy', 'RPG']"
266050,"['Indie', 'Action', 'Adventure']"
460940,['Adventure']
341150,"['Indie', 'Adventure', 'Strategy', 'RPG']"
351480,"['Indie', 'Adventure', 'Strategy', 'RPG']"
249360,"['Indie', 'Strategy', 'Simulation', 'RPG']"
337040,"['Indie', 'Strategy', 'RPG']"
428350,"['Indie', 'Strategy', 'Simulation', 'RPG']"
333830,"['Indie', 'Strategy', 'Simulation', 'Sports']"
402430,"['Indie', 'Strategy', 'Simulation', 'Sports']"
427860,"['Indie', 'Adventure', 'Casual']"
271590,"['Action', 'Adventure']"
326840,"['Indie', 'Action', 'Adventure']"
469740,"['Indie', 'Action', 'Adventure']"
7110,['RPG']
17460,"['Action', 'RPG']"
24980,['RPG']
47810,['RPG']
501720,"['Indie', 'Action', 'Casual']"
503310,"['Indie', 'Action', 'Casual']"
460120,"['Strategy', 'RPG']"
488340,"['Strategy', 'RPG']"
428370,"['Indie', 'Adventure']"
485810,"['Indie', 'Adventure']"
67000,"['Indie', 'Action', 'Casual']"
379420,"['Indie', 'Action', 'Simulation', 'Early Access']"
405970,"['Indie', 'Action', 'Adventure']"
457560,"['Indie', 'Action', 'Adventure']"
311690,"['Indie', 'Action', 'Adventure']"
457840,"['Indie', 'Action', 'Adventure']"
457841,"['Indie', 'Action', 'Adventure']"
457842,"['Indie', 'Action', 'Adventure']"
466350,"['Indie', 'Action', 'Adventure']"
466360,"['Indie', 'Action', 'Adventure']"
410110,"['Indie', 'Action']"
411110,"['Indie', 'Action']"
450830,"['Indie', 'Action']"
434610,"['Indie', 'Strategy']"
457710,"['Action', 'Racing']"
491300,"['Indie', 'Strategy']"
491310,"['Action', 'Racing']"
398970,"['Indie', 'Adventure', 'Strategy', 'RPG', 'Massively Multiplayer', 'Multiplayer']"
495790,"['Indie', 'Adventure', 'Strategy', 'RPG', 'Massively Multiplayer', 'Multiplayer']"
515800,"['Indie', 'Adventure', 'RPG', 'Massively Multiplayer', 'Multiplayer']"
460750,"['Indie', 'Action', 'Casual']"
510600,"['Indie', 'Action', 'Casual']"
277560,['Casual']
413470,['Adventure']
495980,"['Indie', 'Adventure', 'Casual']"
512990,"['Indie', 'Adventure', 'Casual']"
380080,['Audio Production']
500400,['Audio Production']
314020,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy', 'Simulation']"
340070,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy']"
360380,"['Indie', 'Adventure', 'Casual', 'Strategy', 'Simulation']"
416080,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy', 'Simulation']"
348360,"['Indie', 'Casual', 'Simulation']"
431640,"['Indie', 'Action', 'Casual', 'Simulation']"
444260,"['Indie', 'Adventure']"
491000,['Indie']
449540,"['Indie', 'Casual']"
485870,"['Indie', 'Casual', 'Strategy', 'Simulation']"
209080,"['Indie', 'Action', 'Adventure', 'Simulation']"
252590,"['Indie', 'Action', 'Adventure', 'Simulation']"
400580,"['Indie', 'Strategy', 'Simulation', 'RPG']"
449250,"['Indie', 'Simulation']"
449730,"['Indie', 'Adventure', 'Casual', 'Strategy', 'Early Access']"
465360,"['Action', 'Strategy']"
514050,"['Action', 'Strategy']"
333600,"['Indie', 'Casual']"
385800,"['Indie', 'Casual']"
420110,"['Indie', 'Casual']"
402030,['Action']
466820,"['Indie', 'Action']"
242860,"['Indie', 'Action', 'Strategy', 'Simulation']"
343440,"['Indie', 'Action', 'Casual', 'Simulation', 'Racing']"
423810,"['Indie', 'Action', 'Casual', 'Early Access']"
457680,"['Indie', 'Adventure']"
458740,"['Indie', 'Adventure']"
419460,"['Indie', 'Adventure']"
495960,"['Indie', 'Adventure', 'Casual']"
500250,"['Indie', 'Adventure', 'Casual']"
261900,"['Indie', 'Action', 'Adventure', 'RPG']"
468790,"['Indie', 'Action', 'Adventure', 'RPG']"
388120,"['Adventure', 'Casual']"
459660,"['Adventure', 'Casual']"
428900,"['Indie', 'Action', 'Casual']"
453330,"['Indie', 'Action', 'Casual']"
112100,"['Indie', 'RPG']"
"200960,200980,200990,201000,201010","['Indie', 'Strategy', 'RPG']"
208400,"['Indie', 'Strategy', 'RPG']"
206020,"['Indie', 'RPG']"
206040,"['Indie', 'RPG']"
206060,"['Indie', 'RPG']"
218020,"['Indie', 'Strategy', 'RPG']"
233310,"['Indie', 'Strategy', 'RPG']"
337850,"['Indie', 'Adventure', 'Strategy', 'RPG']"
507390,"['Indie', 'Adventure']"
511240,"['Indie', 'Adventure']"
50960,['Casual']
50970,['Casual']
50980,['Casual']
50990,['Casual']
51000,['Casual']
438560,"['Adventure', 'Casual']"
514700,"['Adventure', 'Casual']"
513770,"['Indie', 'Action', 'Casual']"
516100,"['Indie', 'Action', 'Casual']"
220440,"['Action', 'Adventure']"
223790,['Action']
223792,['Action']
223793,['Action']
359490,['Action']
359491,['Action']
359495,['Action']
359496,['Action']
359497,['Action']
329050,['Action']
21640,"['Casual', 'Strategy']"
45773,['Action']
45774,['Action']
45775,['Action']
45776,['Action']
221040,"['Action', 'Adventure']"
232530,"['Action', 'Adventure']"
232550,"['Action', 'Adventure']"
232590,"['Action', 'Adventure']"
232570,"['Action', 'Adventure']"
226720,['Action']
234230,['Action']
234210,['Action']
234250,['Action']
236570,['Action']
233940,['Action']
233920,['Action']
233960,['Action']
235210,"['Action', 'Adventure']"
353050,"['Action', 'Adventure']"
353051,"['Action', 'Adventure']"
353052,"['Action', 'Adventure']"
353053,"['Action', 'Adventure']"
381710,"['Action', 'Adventure']"
381711,"['Action', 'Adventure']"
381712,"['Action', 'Adventure']"
381713,"['Action', 'Adventure']"
339340,"['Action', 'Adventure']"
450000,['Action']
450001,['Action']
390340,['Action']
453810,"['Indie', 'Action', 'Adventure']"
509200,"['Indie', 'Action', 'Adventure']"
254700,"['Action', 'Adventure']"
21690,"['Action', 'Adventure']"
265550,['Action']
462030,"['Indie', 'Casual']"
512450,"['Indie', 'Casual']"
258200,"['Indie', 'Strategy', 'RPG']"
247000,"['Indie', 'Strategy', 'RPG']"
358460,['Strategy']
270070,"['Indie', 'Action', 'Adventure', 'RPG']"
506720,"['Indie', 'Action', 'Adventure', 'RPG']"
442820,['Strategy']
438480,"['Action', 'Adventure', 'Casual', 'Strategy']"
451160,"['Action', 'Adventure', 'Strategy']"
424000,"['Action', 'Adventure']"
432600,"['Action', 'Adventure']"
466890,"['Action', 'Adventure']"
487610,"['Action', 'Adventure']"
502090,"['Indie', 'Adventure']"
291170,"['Indie', 'Casual', 'Strategy']"
320830,"['Indie', 'Casual', 'Strategy']"
443205,['Audio Production']
381870,['Indie']
431840,"['Indie', 'Adventure', 'RPG']"
513980,"['Indie', 'Casual']"
201290,['Strategy']
204880,"['Indie', 'Strategy']"
228600,['Strategy']
228601,['Strategy']
255910,['Strategy']
487280,"['Indie', 'Strategy']"
375010,"['Indie', 'Casual']"
403550,"['Indie', 'Casual']"
415960,"['Indie', 'Casual']"
423240,"['Indie', 'Casual']"
426120,"['Indie', 'Casual']"
389270,"['Indie', 'Adventure']"
513340,"['Indie', 'Adventure']"
403850,"['Indie', 'Action', 'Adventure', 'Simulation', 'Sports', 'Racing']"
409560,"['Indie', 'Action', 'Adventure', 'Simulation']"
450070,"['Indie', 'Action', 'Adventure', 'Simulation']"
457810,"['Indie', 'Action', 'Adventure', 'Simulation', 'Sports', 'Racing']"
296240,"['Adventure', 'Casual', 'Strategy']"
302490,"['Adventure', 'Casual', 'Strategy']"
306200,"['Casual', 'Strategy']"
338960,"['Casual', 'Strategy', 'Simulation']"
338980,"['Casual', 'Strategy', 'Simulation']"
339350,"['Indie', 'RPG']"
466430,"['Indie', 'Adventure', 'RPG']"
204180,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy', 'Simulation']"
351490,"['Indie', 'Action', 'Casual', 'Strategy']"
391420,"['Indie', 'Action', 'Adventure', 'Strategy']"
220740,"['Indie', 'Adventure']"
105000,"['Indie', 'Adventure']"
203830,"['Indie', 'Adventure']"
327220,"['Indie', 'Adventure']"
339190,"['Indie', 'Adventure']"
355440,"['Indie', 'Casual']"
355450,"['Indie', 'Casual']"
414610,"['Indie', 'Adventure', 'Casual']"
274560,"['Indie', 'Action', 'Adventure', 'Strategy', 'Simulation', 'RPG']"
291010,"['Indie', 'Action', 'Adventure', 'Casual', 'Simulation', 'RPG']"
295690,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy']"
306040,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy', 'Simulation', 'Sports']"
314450,"['Indie', 'Action', 'Adventure', 'Strategy', 'RPG']"
380020,"['Indie', 'Action', 'RPG']"
391260,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy', 'RPG']"
397500,"['Indie', 'Action', 'Adventure', 'Strategy', 'RPG']"
407230,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy', 'RPG']"
434420,"['Indie', 'Adventure', 'RPG']"
461640,"['Indie', 'Adventure', 'RPG']"
463350,"['Adventure', 'Strategy', 'RPG']"
362410,"['Indie', 'Adventure']"
400360,"['Indie', 'Adventure']"
455250,"['Indie', 'Adventure']"
284390,"['Indie', 'Adventure']"
402530,['Adventure']
420740,"['Adventure', 'RPG']"
460960,"['Indie', 'Adventure', 'RPG']"
331670,"['Indie', 'Casual', 'Strategy']"
397460,"['Indie', 'Casual', 'Strategy']"
265000,"['Indie', 'Action', 'Strategy', 'RPG']"
454960,"['Indie', 'Action', 'Strategy', 'RPG']"
492750,"['Indie', 'Action', 'Strategy', 'RPG']"
502830,"['Indie', 'Action', 'Strategy', 'RPG']"
344850,"['Indie', 'Strategy', 'Simulation']"
458640,"['Indie', 'Strategy', 'Simulation']"
423230,['Action']
497690,"['Indie', 'Action']"
448720,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy']"
500860,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy']"
470060,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy']"
489950,"['Indie', 'Action', 'Adventure', 'Casual', 'Strategy']"
434800,"['Indie', 'Action', 'Casual']"
448790,"['Indie', 'Action', 'Casual']"
234140,"['Action', 'Adventure']"
495780,"['Indie', 'Casual']"
511300,"['Indie', 'Casual']"
511301,"['Indie', 'Casual']"
